Ingredients;Foodgroup;unit_enhet;g;reference;ID;language
Walnuts;Nuts seeds;handful;20;z;657;english
Pommes frites;Grønnsaker poteter;dl;45;ag;466;norwegian
French fries;vegetables potatoes;dl;45;ag;466;english
Pommes frites;Grønnsaker poteter;porsjon;135;ģ;466;norwegian
French fries;vegetables potatoes;portion;135;ģ;466;english
Potet, kokt;Grønnsaker poteter;brutto;35;NA;468;norwegian
Potet, kokt;Grønnsaker poteter;brutto;65;NA;468;norwegian
Potet, kokt;Grønnsaker poteter;brutto;120;d;468;norwegian
Potato, boiled;vegetables potatoes;brutto;35;NA;468;english
Potato, boiled;vegetables potatoes;brutto;65;NA;468;english
Potato, boiled;vegetables potatoes;brutto;120;d;468;english
Potet, kokt;Grønnsaker poteter;netto;30;NA;468;norwegian
Potet, kokt;Grønnsaker poteter;netto;55;NA;468;norwegian
Potet, kokt;Grønnsaker poteter;netto;100;d;468;norwegian
Potato, boiled;vegetables potatoes;netto;30;NA;468;english
Potato, boiled;vegetables potatoes;netto;55;NA;468;english
Potato, boiled;vegetables potatoes;netto;100;d;468;english
Potet, kokt;Grønnsaker poteter;porsjon;170;d;468;norwegian
Potato, boiled;vegetables potatoes;portion;170;d;468;english
Potet, rå;Grønnsaker poteter;dl;60;a;469;norwegian
Potato, raw;vegetables potatoes;dl;60;a;469;english
Potet, rå;Grønnsaker poteter;brutto;35;NA;469;norwegian
Potet, rå;Grønnsaker poteter;brutto;65;NA;469;norwegian
Potet, rå;Grønnsaker poteter;brutto;120;a;469;norwegian
Potato, raw;vegetables potatoes;brutto;35;NA;469;english
Potato, raw;vegetables potatoes;brutto;65;NA;469;english
Potato, raw;vegetables potatoes;brutto;120;a;469;english
Potet, rå;Grønnsaker poteter;netto;30;NA;469;norwegian
Potet, rå;Grønnsaker poteter;netto;55;NA;469;norwegian
Potet, rå;Grønnsaker poteter;netto;100;b;469;norwegian
Potato, raw;vegetables potatoes;netto;30;NA;469;english
Potato, raw;vegetables potatoes;netto;55;NA;469;english
Potato, raw;vegetables potatoes;netto;100;b;469;english
Potet, rå;Grønnsaker poteter;porsjon;170;ģ;469;norwegian
Potato, raw;vegetables potatoes;portion;170;ģ;469;english
Potetmos;Grønnsaker poteter;dl;100;ag;472;norwegian
Mashed potatoes;vegetables potatoes;dl;100;ag;472;english
Potetmos;Grønnsaker poteter;porsjon;200;ģ;472;norwegian
Mashed potatoes;vegetables potatoes;portion;200;ģ;472;english
Potetsalat;Grønnsaker poteter;dl;100;a;474;norwegian
Potato salad;vegetables potatoes;dl;100;a;474;english
Potetsalat;Grønnsaker poteter;spiseskje;19;a;474;norwegian
Potato salad;vegetables potatoes;tablespoon;19;a;474;english
Agurk;Grønnsaker;dl;55;a;1;norwegian
Cucumber;Vegetables;dl;55;a;1;english
Agurk;Grønnsaker;brutto;335;a;1;norwegian
Cucumber;Vegetables;brutto;335;a;1;english
Agurk;Grønnsaker;netto;325;b;1;norwegian
Cucumber;Vegetables;netto;325;b;1;english
Agurk;Grønnsaker;skive;6;a;1;norwegian
Cucumber;Vegetables;slice;6;a;1;english
Alfalfaspirer;Grønnsaker;dl;20;ar;3;norwegian
Alfalfa sprouts;Vegetables;dl;20;ar;3;english
Artiskokk;Grønnsaker;brutto;330;ag;15;norwegian
Artichoke, globe;Vegetables;brutto;330;ag;15;english
Artiskokk;Grønnsaker;netto;140;b;15;norwegian
Artichoke, globe;Vegetables;netto;140;b;15;english
Asparges;Grønnsaker;brutto;30;a;16;norwegian
Asparagus;Vegetables;brutto;30;a;16;english
Asparges;Grønnsaker;netto;16;b;16;norwegian
Asparagus;Vegetables;netto;16;b;16;english
Aubergine;Grønnsaker;dl;30;aq;18;norwegian
Aubergine;Vegetables;dl;30;aq;18;english
Aubergine;Grønnsaker;brutto;350;aq;18;norwegian
Aubergine;Vegetables;brutto;350;aq;18;english
Aubergine;Grønnsaker;netto;285;b;18;norwegian
Aubergine;Vegetables;netto;285;b;18;english
Aubergine;Grønnsaker;skive;25;al;18;norwegian
Aubergine;Vegetables;slice;25;al;18;english
Babygulrot;Grønnsaker;netto;4;NA;20;norwegian
Babygulrot;Grønnsaker;netto;10;a;20;norwegian
Baby carrot;Vegetables;netto;4;NA;20;english
Baby carrot;Vegetables;netto;10;a;20;english
Basilikum;Grønnsaker;dl;5;a;30;norwegian
Basil;Vegetables;dl;5;a;30;english
Blomkål;Grønnsaker;brutto;650;a;37;norwegian
Cauliflower;Vegetables;brutto;650;a;37;english
Blomkål;Grønnsaker;netto;480;b;37;norwegian
Cauliflower;Vegetables;netto;480;b;37;english
Blomkål;Grønnsaker;bukett;30;a;37;norwegian
Cauliflower;Vegetables;floret;30;a;37;english
Brennesle;Grønnsaker;dl;5;f;47;norwegian
Nettle;Vegetables;dl;5;f;47;english
Brokkoli;Grønnsaker;brutto;460;a;50;norwegian
Broccoli;Vegetables;brutto;460;a;50;english
Brokkoli;Grønnsaker;netto;395;b;50;norwegian
Broccoli;Vegetables;netto;395;b;50;english
Brokkoli;Grønnsaker;bukett;25;a;50;norwegian
Broccoli;Vegetables;floret;25;a;50;english
Cherrytomat;Grønnsaker;dl;65;a;79;norwegian
Cherry tomato;Vegetables;dl;65;a;79;english
Cherrytomat;Grønnsaker;netto;15;a;79;norwegian
Cherry tomato;Vegetables;netto;15;a;79;english
Chili, rød;Grønnsaker;brutto;10;aq;80;norwegian
Chili pepper, red;Vegetables;brutto;10;aq;80;english
Chili, rød;Grønnsaker;netto;7;b;80;norwegian
Chili pepper, red;Vegetables;netto;7;b;80;english
Dill;Grønnsaker;dl;12;f;94;norwegian
Dill;Vegetables;dl;12;f;94;english
Endivesalat;Grønnsaker;dl;30;f;112;norwegian
Chicory, endive;Vegetables;dl;30;f;112;english
Fennikel;Grønnsaker;dl;45;al;125;norwegian
Fennel;Vegetables;dl;45;al;125;english
Fennikel;Grønnsaker;brutto;150;aq;125;norwegian
Fennel;Vegetables;brutto;150;aq;125;english
Fennikel;Grønnsaker;netto;140;b;125;norwegian
Fennel;Vegetables;netto;140;b;125;english
Gresskar;Grønnsaker;dl;55;f;182;norwegian
Pumpkin;Vegetables;dl;55;f;182;english
Gressløk;Grønnsaker;dl;18;ag;184;norwegian
Chives;Vegetables;dl;18;ag;184;english
Gressløk;Grønnsaker;spiseskje;3;ag;184;norwegian
Chives;Vegetables;tablespoon;3;ag;184;english
Grønnkål;Grønnsaker;dl;55;ag;190;norwegian
Kale;Vegetables;dl;55;ag;190;english
Gulrot;Grønnsaker;dl;40;a;197;norwegian
Carrot;Vegetables;dl;40;a;197;english
Gulrot;Grønnsaker;brutto;60;NA;197;norwegian
Gulrot;Grønnsaker;brutto;90;NA;197;norwegian
Gulrot;Grønnsaker;brutto;140;a;197;norwegian
Carrot;Vegetables;brutto;60;NA;197;english
Carrot;Vegetables;brutto;90;NA;197;english
Carrot;Vegetables;brutto;140;a;197;english
Gulrot;Grønnsaker;netto;55;NA;197;norwegian
Gulrot;Grønnsaker;netto;80;NA;197;norwegian
Gulrot;Grønnsaker;netto;125;b;197;norwegian
Carrot;Vegetables;netto;55;NA;197;english
Carrot;Vegetables;netto;80;NA;197;english
Carrot;Vegetables;netto;125;b;197;english
Hodekål;Grønnsaker;dl;35;a;214;norwegian
Cabbage;Vegetables;dl;35;a;214;english
Hodekål;Grønnsaker;brutto;1250;a;214;norwegian
Cabbage;Vegetables;brutto;1250;a;214;english
Hodekål;Grønnsaker;netto;1150;b;214;norwegian
Cabbage;Vegetables;netto;1150;b;214;english
Hvitløk;Grønnsaker;brutto;55;a;229;norwegian
Garlic;Vegetables;brutto;55;a;229;english
Hvitløk;Grønnsaker;netto;45;b;229;norwegian
Garlic;Vegetables;netto;45;b;229;english
Hvitløk;Grønnsaker;fedd (med skall);2,5;a;229;norwegian
Garlic;Vegetables;clove (with skin);2,5;a;229;english
Hvitløk, kinesisk;Grønnsaker;brutto;25;a;230;norwegian
Garlic, chinese;Vegetables;brutto;25;a;230;english
Hvitløk, kinesisk;Grønnsaker;netto;23;b;230;norwegian
Garlic, chinese;Vegetables;netto;23;b;230;english
Ingefærrot;Grønnsaker;cm rot;3;a;237;norwegian
Ginger root;Vegetables;cm of root;3;a;237;english
Isbergsalat, issalat;Grønnsaker;dl;25;a;238;norwegian
Iceberg lettuce;Vegetables;dl;25;a;238;english
Isbergsalat, issalat;Grønnsaker;brutto;510;a;238;norwegian
Iceberg lettuce;Vegetables;brutto;510;a;238;english
Isbergsalat, issalat;Grønnsaker;netto;470;b;238;norwegian
Iceberg lettuce;Vegetables;netto;470;b;238;english
Isbergsalat, issalat;Grønnsaker;blad;40;a;238;norwegian
Iceberg lettuce;Vegetables;leaf;40;a;238;english
Jalapeño;Grønnsaker;brutto;15;c;244;norwegian
Jalapeño;Vegetables;brutto;15;c;244;english
Jalapeño;Grønnsaker;netto;14;av;244;norwegian
Jalapeño;Vegetables;netto;14;av;244;english
Jordskokk;Grønnsaker;dl;55;a;246;norwegian
Jerusalem artichoke;Vegetables;dl;55;a;246;english
Jordskokk;Grønnsaker;brutto;25;a;246;norwegian
Jerusalem artichoke;Vegetables;brutto;25;a;246;english
Jordskokk;Grønnsaker;netto;17;b;246;norwegian
Jerusalem artichoke;Vegetables;netto;17;b;246;english
Kassava;Grønnsaker;brutto;490;c;267;norwegian
Cassava;Vegetables;brutto;490;c;267;english
Kassava;Grønnsaker;netto;410;av;267;norwegian
Cassava;Vegetables;netto;410;av;267;english
Kinakål;Grønnsaker;dl;30;ag;273;norwegian
Cabbage, chinese;Vegetables;dl;30;ag;273;english
Kinakål;Grønnsaker;brutto;800;ag;273;norwegian
Cabbage, chinese;Vegetables;brutto;800;ag;273;english
Kinakål;Grønnsaker;netto;735;b;273;norwegian
Cabbage, chinese;Vegetables;netto;735;b;273;english
Knaskegulrot, snackgulrot;Grønnsaker;netto;25;a;287;norwegian
Baby carrots;Vegetables;netto;25;a;287;english
Knutekål;Grønnsaker;dl;55;f;294;norwegian
Kohlrabi;Vegetables;dl;55;f;294;english
Knutekål;Grønnsaker;brutto;240;c;294;norwegian
Kohlrabi;Vegetables;brutto;240;c;294;english
Knutekål;Grønnsaker;netto;110;as;294;norwegian
Kohlrabi;Vegetables;netto;110;as;294;english
Koriander;Grønnsaker;dl;5;f;303;norwegian
Coriander;Vegetables;dl;5;f;303;english
Kålrot;Grønnsaker;dl;55;a;335;norwegian
Swede;Vegetables;dl;55;a;335;english
Kålrot;Grønnsaker;brutto;1000;a;335;norwegian
Swede;Vegetables;brutto;1000;a;335;english
Kålrot;Grønnsaker;netto;830;b;335;norwegian
Swede;Vegetables;netto;830;b;335;english
Løk, gul/rød;Grønnsaker;dl;55;a;359;norwegian
Onion, yellow/red;Vegetables;dl;55;a;359;english
Løk, gul/rød;Grønnsaker;brutto;170;a;359;norwegian
Onion, yellow/red;Vegetables;brutto;170;a;359;english
Løk, gul/rød;Grønnsaker;netto;160;b;359;norwegian
Onion, yellow/red;Vegetables;netto;160;b;359;english
Mais;Grønnsaker;dl;70;f;366;norwegian
Sweet corn;Vegetables;dl;70;f;366;english
Mais;Grønnsaker;brutto;250;o;366;norwegian
Sweet corn;Vegetables;brutto;250;o;366;english
Mais;Grønnsaker;netto;140;b;366;norwegian
Sweet corn;Vegetables;netto;140;b;366;english
Mangold, sølvbete;Grønnsaker;dl;30;n;377;norwegian
Leaf beet, mangold;Vegetables;dl;30;n;377;english
Nepe;Grønnsaker;dl;55;f;416;norwegian
Turnip;Vegetables;dl;55;f;416;english
Nepe;Grønnsaker;brutto;50;aq;416;norwegian
Turnip;Vegetables;brutto;50;aq;416;english
Nepe;Grønnsaker;netto;40;b;416;norwegian
Turnip;Vegetables;netto;40;b;416;english
Paprika;Grønnsaker;dl;55;f;435;norwegian
Sweet pepper;Vegetables;dl;55;f;435;english
Paprika;Grønnsaker;brutto;170;a;435;norwegian
Sweet pepper;Vegetables;brutto;170;a;435;english
Paprika;Grønnsaker;netto;145;b;435;norwegian
Sweet pepper;Vegetables;netto;145;b;435;english
Paprika;Grønnsaker;skive;10;a;435;norwegian
Sweet pepper;Vegetables;slice;10;a;435;english
Pastinakk;Grønnsaker;dl;55;f;444;norwegian
Parsnip;Vegetables;dl;55;f;444;english
Pastinakk;Grønnsaker;brutto;125;am;444;norwegian
Parsnip;Vegetables;brutto;125;am;444;english
Pastinakk;Grønnsaker;netto;100;b;444;norwegian
Parsnip;Vegetables;netto;100;b;444;english
Pepperrot;Grønnsaker;cm rot;2,5;a;452;norwegian
Horse-radish;Vegetables;cm of root;2,5;a;452;english
Persille;Grønnsaker;dl;12;ag;453;norwegian
Parsley;Vegetables;dl;12;ag;453;english
Persillerot;Grønnsaker;dl;55;f;454;norwegian
Parsley root;Vegetables;dl;55;f;454;english
Persillerot;Grønnsaker;brutto;100;am;454;norwegian
Parsley root;Vegetables;brutto;100;am;454;english
Persillerot;Grønnsaker;netto;90;b;454;norwegian
Parsley root;Vegetables;netto;90;b;454;english
Purreløk;Grønnsaker;dl;45;a;485;norwegian
Leek;Vegetables;dl;45;a;485;english
Purreløk;Grønnsaker;brutto;250;a;485;norwegian
Leek;Vegetables;brutto;250;a;485;english
Purreløk;Grønnsaker;netto;210;b;485;norwegian
Leek;Vegetables;netto;210;b;485;english
Purreløk;Grønnsaker;skive;2;a;485;norwegian
Leek;Vegetables;slice;2;a;485;english
Rabarbra;Grønnsaker;dl;50;aq;491;norwegian
Rhubarb;Vegetables;dl;50;aq;491;english
Rabarbra;Grønnsaker;brutto;135;c;491;norwegian
Rhubarb;Vegetables;brutto;135;c;491;english
Rabarbra;Grønnsaker;netto;100;am;491;norwegian
Rhubarb;Vegetables;netto;100;am;491;english
Radicchio rosso;Grønnsaker;dl;30;f;492;norwegian
Raddichio salad;Vegetables;dl;30;f;492;english
Rapidsalat;Grønnsaker;dl;10;a;493;norwegian
Rapid lettuce;Vegetables;dl;10;a;493;english
Reddik;Grønnsaker;dl;50;ag;495;norwegian
Radish;Vegetables;dl;50;ag;495;english
Reddik;Grønnsaker;brutto;4,2;c;495;norwegian
Radish;Vegetables;brutto;4,2;c;495;english
Reddik;Grønnsaker;netto;4;ag;495;norwegian
Radish;Vegetables;netto;4;ag;495;english
Romanosalat;Grønnsaker;dl;30;f;516;norwegian
Romaine salad;Vegetables;dl;30;f;516;english
Rosenkål;Grønnsaker;dl;65;ag;518;norwegian
Brussel sprouts;Vegetables;dl;65;ag;518;english
Rosenkål;Grønnsaker;brutto;15;ag;518;norwegian
Brussel sprouts;Vegetables;brutto;15;ag;518;english
Rosenkål;Grønnsaker;netto;12;b;518;norwegian
Brussel sprouts;Vegetables;netto;12;b;518;english
Ruccolasalat;Grønnsaker;dl;11;a;521;norwegian
Rocket salad;Vegetables;dl;11;a;521;english
Rødbete;Grønnsaker;dl;55;f;529;norwegian
Beetroot;Vegetables;dl;55;f;529;english
Rødbete;Grønnsaker;brutto;140;ag;529;norwegian
Beetroot;Vegetables;brutto;140;ag;529;english
Rødbete;Grønnsaker;netto;120;b;529;norwegian
Beetroot;Vegetables;netto;120;b;529;english
Rødkål;Grønnsaker;dl;35;f;531;norwegian
Cabbage, red;Vegetables;dl;35;f;531;english
Rødkål;Grønnsaker;brutto;1500;aq;531;norwegian
Cabbage, red;Vegetables;brutto;1500;aq;531;english
Rødkål;Grønnsaker;netto;1200;b;531;norwegian
Cabbage, red;Vegetables;netto;1200;b;531;english
Sellerirot;Grønnsaker;dl;50;a;548;norwegian
Celariac root;Vegetables;dl;50;a;548;english
Sellerirot;Grønnsaker;brutto;780;a;548;norwegian
Celariac root;Vegetables;brutto;780;a;548;english
Sellerirot;Grønnsaker;netto;545;b;548;norwegian
Celariac root;Vegetables;netto;545;b;548;english
Sikorisalat;Grønnsaker;dl;20;ag;560;norwegian
Chicory;Vegetables;dl;20;ag;560;english
Sjalottløk;Grønnsaker;dl;55;f;563;norwegian
Shallot;Vegetables;dl;55;f;563;english
Sjalottløk;Grønnsaker;brutto;18;NA;563;norwegian
Sjalottløk;Grønnsaker;brutto;60;a;563;norwegian
Shallot;Vegetables;brutto;18;NA;563;english
Shallot;Vegetables;brutto;60;a;563;english
Sjalottløk;Grønnsaker;netto;13;b;563;norwegian
Sjalottløk;Grønnsaker;netto;45;b;563;norwegian
Shallot;Vegetables;netto;13;b;563;english
Shallot;Vegetables;netto;45;b;563;english
Skorsonnerot, svartrot;Grønnsaker;dl;55;a;573;norwegian
Salsify, black;Vegetables;dl;55;a;573;english
Skorsonnerot, svartrot;Grønnsaker;brutto;50;NA;573;norwegian
Skorsonnerot, svartrot;Grønnsaker;brutto;120;a;573;norwegian
Salsify, black;Vegetables;brutto;50;NA;573;english
Salsify, black;Vegetables;brutto;120;a;573;english
Skorsonnerot, svartrot;Grønnsaker;netto;30;NA;573;norwegian
Skorsonnerot, svartrot;Grønnsaker;netto;75;b;573;norwegian
Salsify, black;Vegetables;netto;30;NA;573;english
Salsify, black;Vegetables;netto;75;b;573;english
Sopp, kantarell;Grønnsaker;dl;30;ar;586;norwegian
Mushroom, chantherelle;Vegetables;dl;30;ar;586;english
Sopp, kantarell;Grønnsaker;brutto;6;a;586;norwegian
Mushroom, chantherelle;Vegetables;brutto;6;a;586;english
Sopp, kantarell;Grønnsaker;netto;5,5;b;586;norwegian
Mushroom, chantherelle;Vegetables;netto;5,5;b;586;english
Sopp, shiitake;Grønnsaker;dl;30;a;587;norwegian
Mushroom, shiitake;Vegetables;dl;30;a;587;english
Sopp, shiitake;Grønnsaker;netto;8;a;587;norwegian
Mushroom, shiitake;Vegetables;netto;8;a;587;english
Sopp, sjampinjong;Grønnsaker;dl;35;ag;588;norwegian
Mushroom, common;Vegetables;dl;35;ag;588;english
Sopp, sjampinjong;Grønnsaker;brutto;20;ag;588;norwegian
Mushroom, common;Vegetables;brutto;20;ag;588;english
Sopp, sjampinjong;Grønnsaker;netto;18;b;588;norwegian
Mushroom, common;Vegetables;netto;18;b;588;english
Sopp, østers;Grønnsaker;dl;30;f;590;norwegian
Mushroom, oyster;Vegetables;dl;30;f;590;english
Sopp, østers;Grønnsaker;brutto;8;a;590;norwegian
Mushroom, oyster;Vegetables;brutto;8;a;590;english
Sopp, østers;Grønnsaker;netto;7;b;590;norwegian
Mushroom, oyster;Vegetables;netto;7;b;590;english
Spinat, frossen;Grønnsaker;terning;14;a;601;norwegian
Spinach, frozen;Vegetables;cube;14;a;601;english
Spinat, rå;Grønnsaker;dl;12;a;602;norwegian
Spinach, raw;Vegetables;dl;12;a;602;english
Spisskål;Grønnsaker;dl;35;f;603;norwegian
Cabbage, spring green;Vegetables;dl;35;f;603;english
Spisskål;Grønnsaker;brutto;1000;aq;603;norwegian
Cabbage, spring green;Vegetables;brutto;1000;aq;603;english
Spisskål;Grønnsaker;netto;800;b;603;norwegian
Cabbage, spring green;Vegetables;netto;800;b;603;english
Squash, zucchini;Grønnsaker;dl;55;a;604;norwegian
Squash, zucchini;Vegetables;dl;55;a;604;english
Squash, zucchini;Grønnsaker;brutto;300;aq;604;norwegian
Squash, zucchini;Vegetables;brutto;300;aq;604;english
Squash, zucchini;Grønnsaker;netto;285;b;604;norwegian
Squash, zucchini;Vegetables;netto;285;b;604;english
Squash, zucchini;Grønnsaker;skive;15;a;604;norwegian
Squash, zucchini;Vegetables;slice;15;a;604;english
Stilkselleri, stangselleri;Grønnsaker;dl;50;ag;608;norwegian
Celery;Vegetables;dl;50;ag;608;english
Stilkselleri, stangselleri;Grønnsaker;brutto;500;ag;608;norwegian
Celery;Vegetables;brutto;500;ag;608;english
Stilkselleri, stangselleri;Grønnsaker;netto;380;b;608;norwegian
Celery;Vegetables;netto;380;b;608;english
Stilkselleri, stangselleri;Grønnsaker;stilk;33;ag;608;norwegian
Celery;Vegetables;stalk;33;ag;608;english
Søtpotet;Grønnsaker;dl;60;f;627;norwegian
Sweet potato;Vegetables;dl;60;f;627;english
Søtpotet;Grønnsaker;brutto;180;c;627;norwegian
Sweet potato;Vegetables;brutto;180;c;627;english
Søtpotet;Grønnsaker;netto;130;av;627;norwegian
Sweet potato;Vegetables;netto;130;av;627;english
Tomat;Grønnsaker;dl;65;a;634;norwegian
Tomato;Vegetables;dl;65;a;634;english
Tomat;Grønnsaker;netto;95;a;634;norwegian
Tomato;Vegetables;netto;95;a;634;english
Tomat;Grønnsaker;skive;13;a;634;norwegian
Tomato;Vegetables;slice;13;a;634;english
Vårløk;Grønnsaker;dl;40;a;668;norwegian
Scallion, spring onion;Vegetables;dl;40;a;668;english
Vårløk;Grønnsaker;brutto;20;aq;668;norwegian
Scallion, spring onion;Vegetables;brutto;20;aq;668;english
Vårløk;Grønnsaker;netto;19;b;668;norwegian
Scallion, spring onion;Vegetables;netto;19;b;668;english
Blomkål, kokt;Grønnsaker tilberedt;stk;480;d;38;norwegian
Cauliflower, cooked;Vegetables prepared;one;480;d;38;english
Blomkål, kokt;Grønnsaker tilberedt;bukett;30;d;38;norwegian
Cauliflower, cooked;Vegetables prepared;floret;30;d;38;english
Brokkoli, kokt;Grønnsaker tilberedt;stk;440;d;51;norwegian
Broccoli, cooked;Vegetables prepared;one;440;d;51;english
Brokkoli, kokt;Grønnsaker tilberedt;bukett;35;d;51;norwegian
Broccoli, cooked;Vegetables prepared;floret;35;d;51;english
Gulrot, kokt;Grønnsaker tilberedt;stk;50;NA;198;norwegian
Gulrot, kokt;Grønnsaker tilberedt;stk;75;NA;198;norwegian
Gulrot, kokt;Grønnsaker tilberedt;stk;120;d;198;norwegian
Carrot, cooked;Vegetables prepared;one;50;NA;198;english
Carrot, cooked;Vegetables prepared;one;75;NA;198;english
Carrot, cooked;Vegetables prepared;one;120;d;198;english
Hodekål, kokt;Grønnsaker tilberedt;stk;1125;d;215;norwegian
Cabbage, cooked;Vegetables prepared;one;1125;d;215;english
Kålrot, kokt;Grønnsaker tilberedt;stk;780;d;336;norwegian
Swede, cooked;Vegetables prepared;one;780;d;336;english
Løk, gul/rød, kokt;Grønnsaker tilberedt;stk;157;d;360;norwegian
Onion, yellow/red, cooked;Vegetables prepared;one;157;d;360;english
Paprika, kokt;Grønnsaker tilberedt;stk;125;d;436;norwegian
Sweet pepper, cooked;Vegetables prepared;one;125;d;436;english
Persillerot, kokt;Grønnsaker tilberedt;stk;85;d;455;norwegian
Parsley root, cooked;Vegetables prepared;one;85;d;455;english
Rosenkål, kokt;Grønnsaker tilberedt;stk;12,5;d;519;norwegian
Brussel sprouts, cooked;Vegetables prepared;one;12,5;d;519;english
Rødkål, kokt;Grønnsaker tilberedt;stk;1175;d;532;norwegian
Cabbage, red, cooked;Vegetables prepared;one;1175;d;532;english
Søtpotet, kokt;Grønnsaker tilberedt;stk;120;d;628;norwegian
Sweet potato, cooked;Vegetables prepared;one;120;d;628;english
Agurker, syltede;Grønnsaksprodukter;dl;55;ag;2;norwegian
Cucumber, pickled;Vegetable products;dl;55;ag;2;english
Agurker, syltede;Grønnsaksprodukter;skive;5;ag;2;norwegian
Cucumber, pickled;Vegetable products;slice;5;ag;2;english
Asparges, hermetisk;Grønnsaksprodukter;stk;10;ag;17;norwegian
Asparagus, canned;Vegetable products;one;10;ag;17;english
Bambusskudd, hermetisk;Grønnsaksprodukter;dl;60;a;26;norwegian
Bamboo shoots, canned;Vegetable products;dl;60;a;26;english
Bambusskudd, hermetisk;Grønnsaksprodukter;stk;3;a;26;norwegian
Bamboo shoots, canned;Vegetable products;one;3;a;26;english
Grønnsaksblanding, wokblanding, frossen;Grønnsaksprodukter;dl;50;a;191;norwegian
Wok mix, frozen;Vegetable products;dl;50;a;191;english
Ingefær, syltet;Grønnsaksprodukter;porsjon (til sushi);5;ģ;236;norwegian
Ginger, pickled;Vegetable products;portion (for sushi);5;ģ;236;english
Kapers, hermetisk;Grønnsaksprodukter;dl;60;a;261;norwegian
Capers, canned;Vegetable products;dl;60;a;261;english
Kapers, hermetisk;Grønnsaksprodukter;stk;3;a;261;norwegian
Capers, canned;Vegetable products;one;3;a;261;english
Nori, tørket tang;Grønnsaksprodukter;stk;2,5;o;417;norwegian
Nori, seaweed, dried;Vegetable products;one;2,5;o;417;english
Oliven, grønne, pickles;Grønnsaksprodukter;dl;50;a;424;norwegian
Olives, green, pickled;Vegetable products;dl;50;a;424;english
Oliven, grønne, pickles;Grønnsaksprodukter;stk;3;NA;424;norwegian
Oliven, grønne, pickles;Grønnsaksprodukter;stk;7;a;424;norwegian
Olives, green, pickled;Vegetable products;one;3;NA;424;english
Olives, green, pickled;Vegetable products;one;7;a;424;english
Oliven, svarte, i olje, hermetisk;Grønnsaksprodukter;dl;50;a;425;norwegian
Olives, black, in oil, canned;Vegetable products;dl;50;a;425;english
Oliven, svarte, i olje, hermetisk;Grønnsaksprodukter;stk;3;NA;425;norwegian
Oliven, svarte, i olje, hermetisk;Grønnsaksprodukter;stk;6;a;425;norwegian
Olives, black, in oil, canned;Vegetable products;one;3;NA;425;english
Olives, black, in oil, canned;Vegetable products;one;6;a;425;english
Rødbeter, syltede;Grønnsaksprodukter;dl;70;ag;530;norwegian
Beetroot, pickled, canned;Vegetable products;dl;70;ag;530;english
Rødbeter, syltede;Grønnsaksprodukter;skive;12;ag;530;norwegian
Beetroot, pickled, canned;Vegetable products;slice;12;ag;530;english
Sopp, sjampinjong, hermetisk;Grønnsaksprodukter;dl;75;ag;589;norwegian
Mushroom, button, canned;Vegetable products;dl;75;ag;589;english
Surkål;Grønnsaksprodukter;dl;100;a;617;norwegian
Sauerkraut;Vegetable products;dl;100;a;617;english
Tomat, hermetisk;Grønnsaksprodukter;dl;100;e;635;norwegian
Tomatoes, canned;Vegetable products;dl;100;e;635;english
Tomat, soltørket;Grønnsaksprodukter;stk;3;a;636;norwegian
Tomatoes, sun-dried;Vegetable products;one;3;a;636;english
Tomat, soltørket, innlagt i olje;Grønnsaksprodukter;stk;7;a;637;norwegian
Tomatoes, sun-dried, in oil;Vegetable products;one;7;a;637;english
Tomatketchup;Grønnsaksprodukter;dl;110;ag;638;norwegian
Tomato ketchup;Vegetable products;dl;110;ag;638;english
Tomatketchup;Grønnsaksprodukter;spiseskje;20;a;638;norwegian
Tomato ketchup;Vegetable products;tablespoon;20;a;638;english
Tomatpuré;Grønnsaksprodukter;dl;100;e;639;norwegian
Tomato purée;Vegetable products;dl;100;e;639;english
Tomatpuré;Grønnsaksprodukter;spiseskje;18;a;639;norwegian
Tomato purée;Vegetable products;tablespoon;18;a;639;english
Vannkastanjer, hermetisk;Grønnsaksprodukter;dl;65;a;663;norwegian
Water chestnuts, canned;Vegetable products;dl;65;a;663;english
Bønner, brune, kokt;Belgfrukter;porsjon;190;d;63;norwegian
Beans, brown, cooked;Legumes;portion;190;d;63;english
Bønner, brune, tørre;Belgfrukter;dl;80;ag;64;norwegian
Beans, brown, dry;Legumes;dl;80;ag;64;english
Bønner, brune, tørre;Belgfrukter;porsjon;80;ah;64;norwegian
Beans, brown, dry;Legumes;portion;80;ah;64;english
Bønner, grønne, frosne;Belgfrukter;stk;3;f;65;norwegian
Beans, green, frozen;Legumes;one;3;f;65;english
Bønner, grønne, rå;Belgfrukter;stk;3;a;66;norwegian
Beans, green, raw;Legumes;one;3;a;66;english
Bønner, hvite, i tomatsaus, hermetisk;Belgfrukter;dl;110;a;67;norwegian
Beans, white, in tomato sauce, canned;Legumes;dl;110;a;67;english
Bønner, hvite, i tomatsaus, hermetisk;Belgfrukter;spiseskje;19;a;67;norwegian
Beans, white, in tomato sauce, canned;Legumes;tablespoon;19;a;67;english
Bønner, hvite, store, hermetisk;Belgfrukter;dl;85;a;68;norwegian
Beans, white, large, canned;Legumes;dl;85;a;68;english
Bønner, hvite, store, hermetisk;Belgfrukter;stk;3;a;68;norwegian
Beans, white, large, canned;Legumes;one;3;a;68;english
